uniprotkb_A	uniprotkb_B	biogrid_A	biogrid_B	gene_symbol_A	gene_symbol_B	interaction_detection_method	publication_first_author	publication_year	publication_identifier	interaction_type	interaction_identifier
Q09472	P18146	108347	108278	EP300	EGR1	MI:0018	Silverman ES	1998	9806899	MI:0407	5262
Q92793	P18146	107777	108278	CREBBP	EGR1	MI:0018	Silverman ES	1998	9806899	MI:0407	5271
Q14980	P11171	110980	108349	NUMA1	EPB41	MI:0018	Mattagajasingh SN	1999	10189366	MI:0407	5336
Q9NPD3	P68104	120007	108237	EXOSC4	EEF1A1	MI:0018	Lehner B	2004	15231747	MI:0407	5347
P19174	P68104	111351	108237	PLCG1	EEF1A1	MI:0018	Chang JS	2002	11886851	MI:0407	5350
Q86UP2	P29692	110092	108256	KTN1	EEF1D	MI:0018	Ong LL	2003	12773547	MI:0407	5361
P35968	P08758	109992	106805	KDR	ANXA5	MI:0018	Wen Y	1999	10329451	MI:0407	5438
Q86YN6	P03372	126361	108403	PPARGC1B	ESR1	MI:0018	Kressler D	2002	11854298	MI:0407	5719
P51532	P03372	112481	108403	SMARCA4	ESR1	MI:0018	Ichinose H	1997	9099865	MI:0407	5799
Q8TDD1	P03372	122503	108403	DDX54	ESR1	MI:0018	Rajendran RR	2003	12466272	MI:0407	5818
P03372	Q5QJE6	108403	119052	ESR1	DNTTIP2	MI:0018	Bu H	2004	15047147	MI:0407	5832
P11362	P14324	108551	108517	FGFR1	FDPS	MI:0018	Reilly JF	2002	12020352	MI:0407	5977
P01137	P49354	112898	108625	TGFB1	FNTA	MI:0018	Wang T	1996	8599089	MI:0407	5981
P63165	P25445	113188	106851	SUMO1	FAS	MI:0018	Okura T	1996	8906799	MI:0407	6000
Q9NZW5	P02792	119675	108789	MPP6	FTL	MI:0018	Lehner B	2004	15231747	MI:0407	6064
P48634	P02671	113646	108534	PRRC2A	FGA	MI:0018	Lehner B	2004	14667819	MI:0407	6085
P21333	P05556	108605	109894	FLNA	ITGB1	MI:0018	van	2002	11807098	MI:0407	6219
P11362	O43559	108551	116030	FGFR1	FRS3	MI:0018	Xu H	1998	9660748	MI:0407	6310
P18507	O95166	108840	116465	GABRG2	GABARAP	MI:0018	Nymann	2002	11948245	MI:0407	6549
P31947	P04150	109072	109165	SFN	NR3C1	MI:0018	Kino T	2003	12730237	MI:0407	6630
O43294	P04150	112899	109165	TGFB1I1	NR3C1	MI:0018	Yang L	2000	10848625	MI:0407	6631
P04150	O95905	109165	116450	NR3C1	ECD	MI:0018	Sato T	1999	9928932	MI:0407	6651
P35557	O60825	108915	111229	GCK	PFKFB2	MI:0018	Baltrusch S	2001	11522786	MI:0407	6722
P11021	Q9BZG8	109541	108135	HSPA5	DPH1	MI:0018	Salicioni AM	2000	11013075	MI:0407	6764
P11168	P52292	112405	110036	SLC2A2	KPNA2	MI:0018	Guillemain G	2002	11988093	MI:0407	6781
P14672	Q9UER7	112408	107985	SLC2A4	DAXX	MI:0018	Lalioti VS	2002	11842083	MI:0407	6786

